library,target,variant_class,mouse1.3_AUC,sd_mouse1.3_AUC,n_bc_mouse1.3_AUC,mouse1.4_AUC,sd_mouse1.4_AUC,n_bc_mouse1.4_AUC,mouse1.5_AUC,sd_mouse1.5_AUC,n_bc_mouse1.5_AUC,mouse1.6_AUC,sd_mouse1.6_AUC,n_bc_mouse1.6_AUC,mouse2.3_AUC,sd_mouse2.3_AUC,n_bc_mouse2.3_AUC,mouse2.6_AUC,sd_mouse2.6_AUC,n_bc_mouse2.6_AUC,expr,delta_expr,mouse1.3_normAUC,mouse1.4_normAUC,mouse1.5_normAUC,mouse1.6_normAUC,mouse2.3_normAUC,mouse2.6_normAUC
pool1,SARS-CoV-1_PC4-13_PC04,wildtype,4.77072,0.33148,261,3.85796,0.35354,259,4.41347,0.36969,224,4.22108,0.33604,258,6.28984,0.38097,256,6.33022,0.37475,262,10.1819,0.0309,4.74414,3.83208,4.39292,4.19015,6.25935,6.29469
pool1,SARS-CoV-1_PC4-137_PC04,wildtype,4.79604,0.36934,229,3.92874,0.35354,229,4.4491,0.4015,195,4.48937,0.32498,229,6.27043,0.40608,224,6.20737,0.39696,229,10.1928,0.0418,4.76008,3.89373,4.42131,4.44753,6.22918,6.15931
pool1,SARS-CoV-1_GD03T0013_HP04,wildtype,4.7588,0.32563,265,3.89759,0.33569,264,4.39904,0.34116,228,4.37471,0.30989,266,6.28617,0.367,266,6.22966,0.36268,261,10.2122,0.0612,4.70615,3.84634,4.35834,4.31345,6.22579,6.15929
pool1,SARS-CoV-1_GZ0402_HP04,wildtype,4.30271,0.27741,171,2.94172,0.39346,165,4.13311,0.39616,149,4.05443,0.28377,163,6.06004,0.39111,158,5.62898,0.39493,167,9.4512,-0.6998,4.90474,3.52774,4.59844,4.75492,6.75053,6.43358
pool1,SARS-CoV-1_SZ1_PC03,wildtype,4.79844,0.30941,221,3.86892,0.33499,217,4.45035,0.35939,186,4.49508,0.30708,221,6.33403,0.34427,207,6.18358,0.37821,214,10.1745,0.0235,4.77822,3.84924,4.43473,4.47156,6.31084,6.15656
pool1,YN2020B,wildtype,4.59202,0.27952,301,3.27165,0.36221,293,4.11161,0.37417,261,4.00745,0.3289,290,6.4118,0.33728,290,5.39727,0.35922,290,NA,NA,NA,NA,NA,NA,NA,NA
pool1,LYRa11,wildtype,4.37997,0.3123,118,4.10329,0.33364,114,4.29129,0.33537,105,4.17127,0.32085,114,6.24513,0.36682,112,5.94668,0.35516,109,10.1431,-0.0079,4.38676,4.1099,4.29655,4.17918,6.25292,5.95577
pool1,WIV1,wildtype,4.62352,0.34042,234,4.04485,0.35991,239,4.41291,0.38347,195,4.63509,0.39283,227,6.43943,0.41003,228,6.05154,0.37994,228,10.2012,0.0502,4.58033,4.00281,4.37953,4.58484,6.3899,5.99382
pool1,Rs7327,wildtype,4.67532,0.36292,245,3.85287,0.37297,243,4.29513,0.3979,212,4.23089,0.36707,248,6.22956,0.39242,247,6.09716,0.38748,245,10.2556,0.1046,4.58534,3.76527,4.22558,4.12619,6.12636,5.97689
pool1,Rs4231,wildtype,4.6126,0.40471,297,3.72894,0.37941,305,4.37739,0.43608,263,4.02752,0.38528,293,6.37952,0.39168,292,5.35685,0.40636,304,10.2211,0.0701,4.5523,3.67023,4.33078,3.95735,6.31035,5.27625
pool1,RsSHC014,wildtype,4.68305,0.33935,151,3.6681,0.39173,151,4.43472,0.3411,122,4.03462,0.37814,148,6.38326,0.34252,144,5.41747,0.39643,146,10.2843,0.1333,4.56838,3.55647,4.34608,3.90119,6.25173,5.2642
pool1,Rs4084,wildtype,4.74639,0.25975,199,3.73893,0.3324,199,4.40073,0.34941,168,4.06215,0.33598,195,6.3948,0.33738,195,5.55509,0.34705,198,10.2938,0.1428,4.62354,3.61935,4.30578,3.91921,6.2539,5.3909
pool1,AncClade2_MAP,wildtype,1.88242,0.32006,109,3.8868,0.34135,109,3.83881,0.46939,94,4.30656,0.33604,103,4.7565,0.38197,115,5.97219,0.4383,107,10.1347,-0.0163,1.89644,3.90045,3.84965,4.32287,4.77259,5.99093
pool1,AncClade2_alt,wildtype,1.83622,0.30939,283,3.8574,0.34637,289,3.7696,0.44798,244,4.2722,0.31115,284,4.70951,0.32552,293,5.94224,0.39113,284,10.1085,-0.0425,1.87278,3.89299,3.79786,4.31474,4.75144,5.99111
pool1,AncClade2_tree2,wildtype,1.8608,0.30189,267,3.87164,0.3473,274,3.82174,0.45525,233,4.26981,0.31929,270,4.77557,0.3355,280,6.03946,0.40069,275,10.1975,0.0465,1.82079,3.8327,3.79082,4.22327,4.72969,5.986
pool1,AncClade2_alt1_subs-only,wildtype,0.40758,0.29046,203,0.74794,0.2973,206,0.78478,0.40563,188,1.06154,0.33678,224,1.14836,0.43181,210,1.8257,0.4247,217,7.9724,-2.1786,2.2818,2.57235,2.23345,3.2423,3.298,4.33057
pool1,AncClade2_alt2_del1-only,wildtype,6.40739,0.3683,257,5.12559,0.40514,244,5.76039,0.47224,215,5.08607,0.42279,249,6.82311,0.40612,250,6.29808,0.38761,250,9.7922,-0.3588,6.71606,5.42606,5.99898,5.44523,7.17714,6.71062
pool1,AncClade2_alt3_del2-only,wildtype,4.24749,0.35968,220,4.09262,0.38603,221,4.69888,0.41667,182,4.25849,0.34042,220,6.21946,0.38238,208,5.97583,0.38839,216,9.8996,-0.2514,4.46377,4.30315,4.86604,4.51014,6.46752,6.26488
pool1,AncClade2_alt4_dels-only,wildtype,3.4582,0.38776,252,3.18343,0.36678,247,4.18941,0.36784,211,3.49748,0.34945,247,5.28587,0.3629,242,4.8461,0.32444,252,8.9982,-1.1528,4.44994,4.14881,4.95596,4.65142,6.42334,6.17155
