library,sample,sample_type,sort_bin,concentration,date,number_cells,R1
lib40_SARSr-DMS,SARS2mono_04_bin3,SARS2mono,3,4,220411,1045744,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s12_b3_S47_R1_001.fastq.gz
lib40_SARSr-DMS,SARS2mono_04_bin4,SARS2mono,4,4,220411,601,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s12_b4_S48_R1_001.fastq.gz
lib40_SARSr-DMS,SARS2mono_05_bin1,SARS2mono,1,5,220411,9056509,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s17_b1_S65_R1_001.fastq.gz
lib40_SARSr-DMS,SARS2mono_05_bin2,SARS2mono,2,5,220411,333996,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s17_b2_S66_R1_001.fastq.gz
lib40_SARSr-DMS,SARS2mono_05_bin3,SARS2mono,3,5,220411,336,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s17_b3_S67_R1_001.fastq.gz
lib40_SARSr-DMS,SARS2mono_05_bin4,SARS2mono,4,5,220411,547,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s17_b4_S68_R1_001.fastq.gz
lib40_SARSr-DMS,RmYN02mono_01_bin1,RmYN02mono,1,1,220411,573052,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s13_b1_S49_R1_001.fastq.gz
lib40_SARSr-DMS,RmYN02mono_01_bin2,RmYN02mono,2,1,220411,881725,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s13_b2_S50_R1_001.fastq.gz
lib40_SARSr-DMS,RmYN02mono_01_bin3,RmYN02mono,3,1,220411,5315876,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s13_b3_S51_R1_001.fastq.gz
lib40_SARSr-DMS,RmYN02mono_01_bin4,RmYN02mono,4,1,220411,2420033,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s13_b4_S52_R1_001.fastq.gz
lib40_SARSr-DMS,RmYN02mono_02_bin1,RmYN02mono,1,2,220411,982894,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s14_b1_S53_R1_001.fastq.gz
lib40_SARSr-DMS,RmYN02mono_02_bin2,RmYN02mono,2,2,220411,2452274,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s14_b2_S54_R1_001.fastq.gz
lib40_SARSr-DMS,RmYN02mono_02_bin3,RmYN02mono,3,2,220411,4996336,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s14_b3_S55_R1_001.fastq.gz
lib40_SARSr-DMS,RmYN02mono_02_bin4,RmYN02mono,4,2,220411,1014038,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s14_b4_S56_R1_001.fastq.gz
lib40_SARSr-DMS,RmYN02mono_03_bin1,RmYN02mono,1,3,220411,2004181,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s15_b1_S57_R1_001.fastq.gz
lib40_SARSr-DMS,RmYN02mono_03_bin2,RmYN02mono,2,3,220411,6006262,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s15_b2_S58_R1_001.fastq.gz
lib40_SARSr-DMS,RmYN02mono_03_bin3,RmYN02mono,3,3,220411,1098772,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s15_b3_S59_R1_001.fastq.gz
lib40_SARSr-DMS,RmYN02mono_03_bin4,RmYN02mono,4,3,220411,209970,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s15_b4_S60_R1_001.fastq.gz
lib40_SARSr-DMS,RmYN02mono_04_bin1,RmYN02mono,1,4,220411,6248475,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s16_b1_S61_R1_001.fastq.gz
lib40_SARSr-DMS,RmYN02mono_04_bin2,RmYN02mono,2,4,220411,1978364,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s16_b2_S62_R1_001.fastq.gz
lib40_SARSr-DMS,RmYN02mono_04_bin3,RmYN02mono,3,4,220411,919841,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s16_b3_S63_R1_001.fastq.gz
lib40_SARSr-DMS,RmYN02mono_04_bin4,RmYN02mono,4,4,220411,450,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s16_b4_S64_R1_001.fastq.gz
lib40_SARSr-DMS,RmYN02mono_05_bin1,RmYN02mono,1,5,220411,9056509,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s17_b1_S65_R1_001.fastq.gz
lib40_SARSr-DMS,RmYN02mono_05_bin2,RmYN02mono,2,5,220411,333996,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s17_b2_S66_R1_001.fastq.gz
lib40_SARSr-DMS,RmYN02mono_05_bin3,RmYN02mono,3,5,220411,336,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s17_b3_S67_R1_001.fastq.gz
lib40_SARSr-DMS,RmYN02mono_05_bin4,RmYN02mono,4,5,220411,547,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s17_b4_S68_R1_001.fastq.gz
lib47_SARSr-wts,tetra_01_bin1,tetra,1,1,220411,2663,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s18_b1_S1_R1_001.fastq.gz
